station_name,lat,lon,station_cd,yomi,pref_cd
鳩ヶ谷,35.830859,139.735967,9930704,,11
新井宿,35.842974,139.737908,9930705,,11
戸塚安行,35.858873,139.753689,9930706,,11
浦和美園,35.893677,139.72779,9930708,,11
西大原,35.260407,140.378029,9930802,,12
上総東,35.263313,140.344974,9930803,,12
新田野,35.276408,140.328081,9930804,,12
国吉,35.280497,140.314046,9930805,,12
上総中川,35.282763,140.280636,9930806,,12
城見ヶ丘,35.291741,140.252693,9930814,,12
大多喜,35.286466,140.243833,9930807,,12
小谷松,35.268938,140.251142,9930808,,12
東総元,35.259314,140.247381,9930809,,12
久我原,35.250265,140.247718,9930810,,12
総元,35.240588,140.240413,9930811,,12
西畑,35.25051,140.215176,9930812,,12
青井,35.771782,139.82038,9930906,あおい,13
六町,35.784963,139.821816,9930907,ろくちょう,13
八潮,35.807905,139.845017,9930908,,11
三郷中央,35.824514,139.878344,9930909,,11
流山セントラルパーク,35.854552,139.915223,9930911,,12
柏の葉キャンパス,35.89308,139.952454,9930913,,12
柏たなか,35.9109,139.957533,9930914,,12
新高島,35.46192,139.626499,9931002,,14
みなとみらい,35.458028,139.632386,9931003,,14
馬車道,35.450135,139.636175,9931004,,14
日本大通り,35.446821,139.642608,9931005,,14
元町・中華街,35.44243,139.650446,9931006,,14
竹芝,35.654099,139.762037,9931103,たけしば,13
日の出,35.649136,139.75906,9931104,ひので,13
芝浦ふ頭,35.641773,139.757852,9931105,しばうらふとう,13
お台場海浜公園,35.629813,139.778607,9931106,おだいばかいひんこうえん,13
台場,35.625908,139.771435,9931107,だいば,13
東京国際クルーズターミナル,35.621462,139.773157,9931108,とうきょうこくさいくるーずたーみなる,13
テレコムセンター,35.617593,139.779327,9931109,てれこむせんたー,13
青海,35.62467,139.781132,9931110,あおみ,13
東京ビッグサイト,35.630158,139.791228,9931111,とうきょうびっぐさいと,13
有明,35.634596,139.793269,9931112,ありあけ,20
有明テニスの森,35.639964,139.78888,9931113,ありあけてにすのもり,13
市場前,35.645684,139.78564,9931114,しじょうまえ,13
新豊洲,35.648718,139.789996,9931115,しんとよす,13
地区センター,35.726225,140.155041,9931302,,12
公園,35.730758,140.153755,9931303,,12
女子大,35.738357,140.155054,9931304,,12
中学校,35.740123,140.14841,9931305,,12
井野,35.732605,140.148497,9931306,,10
緑町,35.259226,139.158578,9931402,,14
井細田,35.268964,139.157397,9931403,,14
五百羅漢,35.27519,139.155758,9931404,,14
穴部,35.279887,139.148787,9931405,,14
飯田岡,35.287913,139.139109,9931406,,14
相模沼田,35.292334,139.133945,9931407,,14
岩原,35.298825,139.12879,9931408,,14
塚原,35.301305,139.126632,9931409,,14
和田河原,35.31585,139.118684,9931410,,14
富士フイルム前,35.317657,139.109483,9931411,,14
大雄山,35.319046,139.10365,9931412,,14
中川,35.562973,139.569846,9931602,,6
仲町台,35.535258,139.589715,9931605,,14
新羽,35.527701,139.612065,9931606,,14
北新横浜,35.519271,139.612818,9931607,,14
岸根公園,35.496038,139.617065,9931609,,14
片倉町,35.490205,139.606511,9931610,,14
三ツ沢上町,35.476526,139.605395,9931611,,14
三ツ沢下町,35.476512,139.61481,9931612,,14
高島町,35.458804,139.623548,9931614,,14
伊勢佐木長者町,35.441044,139.633176,9931617,,14
阪東橋,35.437434,139.624843,9931618,,14
吉野町,35.435489,139.618455,9931619,,14
蒔田,35.429935,139.610123,9931620,,14
港南中央,35.401049,139.590958,9931623,,14
上永谷,35.401391,139.572713,9931624,,14
下永谷,35.402677,139.559389,9931625,,14
舞岡,35.402685,139.551509,9931626,,14
踊場,35.405922,139.518058,9931628,,14
中田,35.411161,139.511301,9931629,,2
立場,35.414296,139.500177,9931630,,14
下飯田,35.403503,139.483195,9931631,,14
南部市場,35.380192,139.633163,9931702,,14
鳥浜,35.377187,139.641704,9931703,,14
並木北,35.372015,139.642743,9931704,,14
並木中央,35.365505,139.642945,9931705,,14
幸浦,35.358406,139.643706,9931706,,14
産業振興センター,35.35339,139.646326,9931707,,14
福浦,35.349627,139.648517,9931708,,14
市大医学部,35.343966,139.650156,9931709,,14
八景島,35.340914,139.64079,9931710,,14
海の公園柴口,35.342086,139.635846,9931711,,14
海の公園南口,35.337225,139.632096,9931712,,14
野島公園,35.330559,139.631524,9931713,,14
石上,35.332482,139.485572,9932002,,14
柳小路,35.327352,139.485189,9932003,,14
鵠沼,35.321447,139.482637,9932004,,14
湘南海岸公園,35.315203,139.4833,9932005,,14
江ノ島,35.311003,139.487581,9932006,,14
腰越,35.308287,139.493286,9932007,,14
鎌倉高校前,35.306698,139.500535,9932008,,14
七里ヶ浜,35.306243,139.510101,9932009,,14
稲村ヶ崎,35.30426,139.522322,9932010,,14
極楽寺,35.309318,139.528721,9932011,,14
長谷,35.311265,139.536168,9932012,,28
由比ヶ浜,35.312857,139.54157,9932013,,14
和田塚,35.31372,139.545362,9932014,,14
鉄道博物館,35.920271,139.617796,9932102,,11
加茂宮,35.93568,139.616688,9932103,,11
東宮原,35.94262,139.618054,9932104,,11
今羽,35.949941,139.619443,9932105,,11
吉野原,35.957065,139.620862,9932106,,11
原市,35.964072,139.622531,9932107,,11
沼南,35.971165,139.623481,9932108,,11
丸山,35.97989,139.624711,9932109,,24
志久,35.991099,139.62228,9932110,,11
伊奈中央,35.999537,139.617094,9932111,,11
羽貫,36.007311,139.608608,9932112,,11
内宿,36.014163,139.599878,9932113,,11
芝山千代田,35.754248,140.399215,9932402,,12
上総村上,35.496171,140.100355,9932502,,12
海士有木,35.481729,140.124264,9932503,,12
上総三又,35.46592,140.12672,9932504,,12
上総山田,35.454105,140.126128,9932505,,12
光風台,35.439662,140.114174,9932506,,12
馬立,35.423795,140.114719,9932507,,12
上総牛久,35.400213,140.142255,9932508,,12
上総川間,35.388047,140.150968,9932509,,12
上総鶴舞,35.381346,140.165006,9932510,,12
上総久保,35.367481,140.154438,9932511,,12
高滝,35.353074,140.150246,9932512,,12
里見,35.336685,140.145505,9932513,,12
飯給,35.320512,140.142358,9932514,,12
月崎,35.302203,140.139394,9932515,,12
上総大久保,35.283367,140.145924,9932516,,12
養老渓谷,35.266409,140.159382,9932517,,12
富士見町,35.345389,139.529277,9932602,,31
湘南町屋,35.337832,139.522666,9932603,,14
湘南深沢,35.332865,139.518903,9932604,,14
西鎌倉,35.319383,139.504365,9932605,,14
片瀬山,35.317256,139.496052,9932606,,14
目白山下,35.31402,139.491533,9932607,,14
